Simulation_ID,S0,K,T,r,sigma_v,Up-and-In_Call,Up-and-Out_Call,European_Lookback_Call,Asian_Call,Double_Barrier_Call,Delta,Gamma,Theta,Vega,Rho
760,119.579294,106.071376,0.834459,0.035675,0.101289,17.046866,0.000000,17.074645,15.231774,0.000000,0.999740,0.000009,-3.678828,0.035465,85.884482
761,149.386862,74.756981,1.629083,0.040762,0.258398,84.827269,0.000000,84.910532,79.697460,0.000000,0.999963,0.000001,-2.852958,0.015255,113.950007
762,70.538122,105.993143,1.145050,0.041183,0.147874,0.004923,0.000000,0.004923,0.000000,0.000000,0.003602,0.000754,-0.055884,0.653408,0.270923
763,84.548368,84.420797,1.691225,0.010231,0.125309,0.020567,1.883727,1.994697,1.342991,0.000000,0.999614,0.000009,-0.853227,0.042075,140.243253
764,125.175823,101.103768,1.035917,0.034503,0.281752,28.659451,0.000000,28.666897,26.322767,0.000000,0.999836,0.000007,-3.369531,0.031467,101.032643
765,97.240045,109.338162,0.497067,0.028177,0.288541,0.262075,0.000802,0.494401,0.041356,0.000802,0.080137,0.010552,-1.510662,7.696799,3.614016
766,145.410099,97.708101,1.959557,0.049493,0.281699,62.545247,0.000000,62.585882,55.050839,0.000000,0.999896,0.000003,-4.391171,0.036860,173.729236
767,106.269928,112.613717,0.119435,0.011789,0.110118,0.357120,0.000000,0.657232,0.043141,0.000000,0.100249,0.020295,-4.177272,5.142456,1.227353
768,123.418780,70.141575,1.877239,0.041218,0.273022,63.138104,0.000000,63.155434,58.116688,0.000000,0.999920,0.000002,-2.678072,0.025089,121.843766
769,76.110012,126.444761,1.873234,0.034385,0.225983,0.005634,0.000000,0.043245,0.000000,0.000000,0.002584,0.000339,-0.033335,0.588936,0.331835
770,101.576180,118.251804,1.022048,0.043100,0.259281,0.495889,0.000000,0.691030,0.093566,0.000000,0.079075,0.008820,-1.049071,10.920367,7.527293
771,125.711118,94.094227,1.975400,0.024223,0.184203,37.788701,0.000000,37.945488,34.752094,0.000000,0.999811,0.000004,-2.176811,0.047788,177.122555
772,104.577190,100.613612,0.844694,0.011621,0.207268,0.150089,4.824163,5.519163,4.450359,4.824163,0.999622,0.000012,-1.164127,0.036524,84.116109
773,50.550787,108.650339,0.346218,0.018636,0.122329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000001,0.000000
774,140.486894,89.707438,0.436549,0.048531,0.170701,53.814736,0.000000,53.835737,52.300836,0.000000,0.999997,0.000000,-4.262611,0.000949,38.340519
775,129.710990,85.795003,1.177563,0.017422,0.130055,46.547398,0.000000,46.804559,45.207679,0.000000,0.999894,0.000003,-1.468308,0.025838,98.957262
776,56.444422,94.996160,0.753363,0.019167,0.265754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000635,0.000164,-0.013805,0.087148,0.025276
777,91.785378,118.255393,1.397688,0.047847,0.231998,0.119551,0.000000,0.122004,0.018741,0.000000,0.027660,0.003619,-0.346744,5.011895,3.263612
778,120.167450,116.522360,0.609535,0.013549,0.180841,4.664209,0.000000,5.255445,4.164919,0.000000,0.999612,0.000014,-1.573862,0.035948,70.406478
779,88.599714,97.563346,0.223357,0.040581,0.255527,0.029357,0.206929,0.428346,0.021815,0.000000,0.077490,0.015577,-2.279276,4.880680,1.463321
780,109.317260,122.727355,0.980169,0.034607,0.113385,1.290042,0.000000,1.911250,0.476945,0.000000,0.131708,0.012348,-1.577640,17.442345,13.077689
781,98.809633,126.880461,0.559830,0.018148,0.220335,0.049621,0.000000,0.060408,0.000000,0.000000,0.012760,0.002112,-0.346174,2.012521,0.666894
782,124.761915,78.149560,1.181709,0.037163,0.265624,52.205584,0.000000,52.225884,49.370354,0.000000,0.999948,0.000002,-2.781182,0.014378,88.373208
783,70.735617,128.358065,1.092884,0.012951,0.280974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000604,0.000090,-0.013119,0.113031,0.042360
784,144.290294,77.499798,0.607084,0.029382,0.205921,69.290906,0.000000,69.517243,68.034405,0.000000,0.999993,0.000000,-2.237410,0.002169,46.216481
785,79.851372,102.788851,1.161659,0.023397,0.271543,0.067059,0.017494,0.095256,0.006288,0.000000,0.023952,0.003245,-0.288337,3.562650,2.031881
786,62.391191,105.348907,0.904196,0.040541,0.259116,0.000000,0.000000,0.000000,0.000000,0.000000,0.001094,0.000231,-0.022923,0.170569,0.057457
