Simulation_ID,S0,K,T,r,sigma_v,Up-and-In_Call,Up-and-Out_Call,European_Lookback_Call,Asian_Call,Double_Barrier_Call,Delta,Gamma,Theta,Vega,Rho
893,118.438862,85.655383,0.565194,0.020721,0.134565,34.085914,0.000000,34.462251,33.385766,0.000000,0.999940,0.000004,-1.756948,0.010613,47.843806
894,69.689514,102.145662,0.160676,0.035996,0.202649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000002,-0.000217,0.000300,0.000027
895,90.912033,111.210673,1.538836,0.030223,0.137756,0.473599,0.000000,0.550214,0.123596,0.000000,0.045925,0.006614,-0.413918,8.422869,5.980415
896,109.476049,72.596208,1.053331,0.011029,0.288069,28.462955,9.775118,38.977077,37.590770,9.775118,0.999931,0.000004,-0.793512,0.014955,75.575422
897,51.901301,129.970426,1.301503,0.046595,0.135203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000019,0.000002,-0.000386,0.002776,0.001118
898,118.398411,126.502081,1.710064,0.038176,0.130167,0.928565,0.000000,0.930972,0.044339,0.000000,0.313139,1.583760,-1.442419,54.787465,63.285253
899,113.720471,78.509605,1.106634,0.025454,0.137470,38.437193,0.000000,38.537169,36.837711,0.000000,0.999894,0.000004,-1.946060,0.021839,84.452115
900,89.303085,77.772415,0.634297,0.029856,0.265070,0.000000,13.214372,13.317578,12.367206,0.000000,0.999788,0.000014,-2.282487,0.020614,48.391623
901,123.111453,117.243814,0.561081,0.034863,0.199826,8.363703,0.000000,8.418969,7.147019,0.000000,0.999663,0.000013,-4.015449,0.033692,64.481759
902,74.776021,105.037385,0.335958,0.015418,0.297073,0.000000,0.000000,0.000000,0.000000,0.000000,0.001304,0.000369,-0.055328,0.156308,0.031289
903,105.263161,104.969093,0.750237,0.036977,0.284604,0.576999,2.651547,3.239820,1.816158,2.651547,0.999600,0.000012,-3.781712,0.035224,76.556942
904,134.640115,119.907930,0.783572,0.022681,0.236814,17.124619,0.000000,17.243512,15.919931,0.000000,0.999710,0.000007,-2.681041,0.040783,92.262522
905,59.956297,86.344280,0.701198,0.047260,0.208858,0.000000,0.000000,0.000000,0.000000,0.000000,0.004200,0.001140,-0.079230,0.514857,0.166506
906,62.781715,119.542176,1.917935,0.014700,0.181715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000390,0.000046,-0.004939,0.070562,0.038976
907,120.395397,106.549185,1.514633,0.021567,0.151305,17.913524,0.000000,18.068190,15.870512,0.000000,0.999715,0.000006,-2.229204,0.050299,156.125383
908,78.212066,80.098976,0.287231,0.020862,0.201189,0.000000,1.018670,1.830195,0.432116,0.000000,0.219512,0.028126,-2.805658,8.255485,4.608451
909,59.389492,75.250943,1.867054,0.023638,0.195646,0.000000,0.122920,0.189115,0.017222,0.000000,0.025558,0.005290,-0.140327,3.536251,2.608365
910,63.198504,93.024965,0.521178,0.043903,0.143946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000987,0.000347,-0.026504,0.132202,0.031080
911,119.205100,71.894302,0.609207,0.044334,0.198937,50.543475,0.000000,50.612918,48.935333,0.000000,0.999993,0.000001,-3.102809,0.001785,42.630899
912,116.095419,83.878662,0.961944,0.045637,0.161917,37.468633,0.000000,37.477793,34.845621,0.000000,0.999889,0.000005,-3.666874,0.021578,77.206163
913,134.723177,124.578108,1.832257,0.027544,0.202010,17.039794,0.000000,17.109715,13.564756,0.000000,0.999694,0.000005,-3.267701,0.063950,216.914823
914,138.450965,123.147913,0.740140,0.040057,0.286291,19.628177,0.000000,19.630901,17.506561,0.000000,0.999748,0.000008,-4.795520,0.038040,88.453182
915,123.265046,118.392113,0.396774,0.033316,0.173222,6.488770,0.000000,6.602947,5.666036,0.000000,0.999643,0.000015,-3.902434,0.028950,46.338010
916,111.159497,128.101640,0.211048,0.035289,0.174553,0.123699,0.000000,0.192749,0.000457,0.000000,0.028243,0.005967,-1.357391,2.849056,0.638582
917,81.274612,117.314646,0.980067,0.041906,0.176091,0.005314,0.000000,0.006212,0.000000,0.000000,0.005304,0.001000,-0.100033,1.004130,0.396039
918,143.628492,119.343089,0.450569,0.047819,0.130880,27.430354,0.000000,27.459465,25.870290,0.000000,0.999872,0.000007,-5.590909,0.020230,52.616881
919,53.973510,113.462518,0.542683,0.031039,0.203175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000001,-0.000102,0.000385,0.000072
920,102.504074,101.431478,1.015680,0.041683,0.133052,0.201031,5.317538,5.519858,3.302996,5.317538,0.999629,0.000010,-4.057785,0.039045,98.700107
921,85.704565,105.775279,1.236314,0.013348,0.216246,0.071127,0.013125,0.106705,0.000324,0.000000,0.030101,0.004092,-0.307593,4.826348,2.938892
922,130.821054,99.999813,0.160558,0.036613,0.111041,31.550624,0.000000,31.966354,31.168726,0.000000,0.999997,0.000001,-3.640139,0.000458,15.961649
923,78.129239,114.389521,0.657724,0.046598,0.251157,0.000000,0.000000,0.000000,0.000000,0.000000,0.003374,0.000665,-0.091960,0.520156,0.162643
924,100.024152,83.142978,0.296970,0.049255,0.194511,0.022909,18.330135,18.423337,17.616923,18.330135,0.999927,0.000010,-4.038705,0.007568,24.330104
925,139.550863,107.569080,0.264597,0.046810,0.220884,33.698420,0.000000,33.798814,32.822658,0.000000,0.999978,0.000003,-4.975131,0.003735,28.111298
926,76.053096,75.877660,0.493540,0.048150,0.170772,0.000000,2.025110,2.030185,1.159403,0.000000,0.999590,0.000023,-3.572517,0.020766,36.551037
927,145.465272,113.000654,0.227307,0.015815,0.248449,33.003513,0.000000,33.999128,32.749162,0.000000,0.999978,0.000003,-1.782893,0.003687,25.592942
928,76.565857,94.179757,0.402899,0.031374,0.163767,0.000000,0.020848,0.057894,0.000000,0.000000,0.016505,0.004274,-0.405791,1.709882,0.486417
929,142.834459,85.719870,0.128905,0.023006,0.174983,57.553382,0.000000,58.632782,57.352986,0.000000,1.000000,0.000000,-1.966199,0.000000,11.016984
930,112.083757,89.517628,0.247324,0.023410,0.207903,23.116399,0.000000,23.734396,22.807273,0.000000,0.999953,0.000006,-2.086528,0.005463,22.010653
931,145.133618,110.267771,0.727933,0.031223,0.237316,38.255182,0.000000,38.296040,36.567950,0.000000,0.999863,0.000005,-3.371696,0.027149,78.446652
932,73.061514,122.224073,0.152948,0.048066,0.144663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
933,76.249824,101.594197,1.411899,0.014069,0.250335,0.000000,0.001683,0.012269,0.000000,0.000000,0.014610,0.002107,-0.148109,2.466951,1.441106
934,90.125223,93.778926,1.467126,0.019836,0.205582,0.765944,1.528911,3.099831,1.347617,0.402735,0.232915,0.028053,-0.999875,21.597831,28.460147
935,140.809085,109.689617,1.045304,0.014942,0.141289,33.300610,0.000000,33.683269,32.181268,0.000000,0.999814,0.000005,-1.619921,0.038602,112.847737
936,69.383984,73.558630,1.258117,0.037545,0.180551,0.000000,1.827966,2.322335,0.884323,0.000000,0.236304,0.031625,-1.172999,15.429135,18.919943
937,64.211144,106.213108,1.706672,0.044249,0.185867,0.000000,0.000000,0.003693,0.000000,0.000000,0.002333,0.000437,-0.027707,0.459979,0.233923
938,50.553076,103.577093,1.995036,0.046831,0.108833,0.094967,0.000000,0.102098,0.003341,0.000000,0.000216,0.000021,-0.002478,0.026783,0.017276
939,100.494356,87.125444,0.126430,0.014059,0.223548,0.000000,13.532303,14.656350,13.447766,13.532303,0.999955,0.000011,-1.225916,0.003375,10.995145
940,77.321648,82.185416,1.552076,0.025087,0.205496,0.135361,1.514710,2.069870,0.848567,0.000000,0.205527,0.030467,-0.868278,18.430492,22.774807
941,145.523016,129.572738,1.582773,0.024909,0.167484,21.797332,0.000000,21.828275,18.866183,0.000000,0.999713,0.000005,-3.109165,0.062411,197.062010
942,66.767613,94.732557,0.471179,0.033019,0.164280,0.000000,0.006822,0.007223,0.000000,0.000000,0.001575,0.000528,-0.044473,0.205491,0.047500
943,54.379039,122.736879,0.219723,0.013534,0.116308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
944,135.733791,97.794921,0.611541,0.035363,0.273004,40.865643,0.000000,40.918054,39.371736,0.000000,0.999913,0.000004,-3.388976,0.016867,58.517743
945,63.848940,85.965890,1.721056,0.012119,0.152591,0.000000,0.010299,0.022072,0.000000,0.000000,0.011924,0.002377,-0.084000,2.011123,1.210872
946,119.021071,128.548000,1.230161,0.045230,0.249521,3.165937,0.000000,3.717900,1.413041,0.000000,0.201549,0.021301,-1.949688,24.951234,27.240966
947,125.043913,80.972672,1.987183,0.031952,0.207654,52.077733,0.000000,52.133509,47.961882,0.000000,0.999881,0.000003,-2.430885,0.035024,150.968447
948,125.028762,98.092947,1.942115,0.010613,0.165059,29.547395,0.000000,29.876248,28.255780,0.000000,0.999777,0.000005,-1.024522,0.052016,186.544959
949,63.251317,76.238382,0.405877,0.012716,0.227027,0.000000,0.067048,0.085713,0.003603,0.000000,0.022366,0.006385,-0.410558,1.792301,0.546211
950,58.855069,110.960697,0.894767,0.012789,0.244314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000217,0.000043,-0.005026,0.032617,0.010345
951,95.957556,102.075932,1.164915,0.010100,0.135524,1.296798,0.232551,2.423008,0.833290,0.142719,0.172374,0.017064,-1.059667,18.790180,17.731932
952,65.496852,98.829358,0.570550,0.024762,0.125075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000583,0.000196,-0.015455,0.087302,0.020751
953,51.026953,73.454729,0.936044,0.033901,0.125953,0.000000,0.003403,0.004841,0.000000,0.000000,0.003663,0.001266,-0.043758,0.457759,0.165317
954,143.228297,81.085080,1.671912,0.041005,0.119540,72.366858,0.000000,72.435389,67.212502,0.000000,0.999938,0.000002,-3.106697,0.022532,126.565897
955,72.302356,73.178068,1.502396,0.034360,0.294403,0.000000,2.941612,2.989251,1.191273,0.000000,0.999621,0.000012,-2.390542,0.033726,104.353614
956,61.099597,85.073870,0.704803,0.026647,0.169504,0.000000,0.003649,0.017527,0.000000,0.000000,0.004785,0.001350,-0.081540,0.599327,0.194911
957,100.695804,122.553813,1.060939,0.024503,0.246617,0.139911,0.000000,0.245925,0.007528,0.000000,0.038745,0.004516,-0.531978,6.461976,3.816356
958,98.230150,94.022056,0.384120,0.016139,0.295284,0.018441,4.791463,5.396649,4.495104,4.791463,0.999649,0.000023,-1.515323,0.022575,35.877698
959,81.202091,92.740063,0.849070,0.030430,0.128269,0.070557,0.295607,0.602972,0.069202,0.000000,0.098597,0.013972,-1.035512,10.171838,6.333538
960,112.619667,118.776478,1.062605,0.013491,0.224501,1.862022,0.000000,2.781419,1.018288,0.000000,0.170875,0.017650,-1.293287,20.472743,18.827588
961,104.644878,118.172376,1.900580,0.023285,0.113497,1.363081,0.000000,1.727954,0.613486,0.000000,0.122100,0.013514,-0.766642,21.861755,22.545972
962,57.708102,92.582678,0.545174,0.015889,0.104543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000093,0.000041,-0.002510,0.013896,0.002807
963,135.455462,83.185029,0.181520,0.035769,0.188115,53.287398,0.000000,53.692448,52.811697,0.000000,1.000000,0.000000,-2.956224,0.000000,15.002040
964,114.585099,124.961755,0.384770,0.042254,0.128433,1.015909,0.000000,1.574891,0.222566,0.000000,0.129547,0.013868,-3.063025,11.453200,5.368895
965,83.290312,109.615529,1.012447,0.023112,0.224232,0.021889,0.000000,0.035270,0.000000,0.000000,0.017070,0.002526,-0.252017,2.738771,1.332771
966,108.299471,120.482527,0.301960,0.030460,0.116085,0.324072,0.000000,0.666192,0.035723,0.000000,0.081116,0.011901,-2.347776,7.268403,2.522798
967,125.058790,118.511618,1.249625,0.044277,0.267084,13.694506,0.000000,13.729324,10.120631,0.000000,0.999681,0.000007,-4.969889,0.049923,140.056790
968,93.266971,75.313882,0.430195,0.028400,0.247696,0.000000,19.105061,19.344557,18.528146,18.808296,0.999871,0.000010,-2.117558,0.012851,32.000452
969,135.082384,85.393894,0.609992,0.045661,0.228750,53.488841,0.000000,53.525984,51.577609,0.000000,0.999981,0.000001,-3.793211,0.004923,50.657065
970,101.426946,101.200188,0.583334,0.013615,0.266922,0.000000,1.437826,1.646342,1.159519,1.437826,0.999124,0.004375,-1.374495,0.144022,58.509169
971,62.875956,114.248207,1.553148,0.037949,0.184867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000657,0.000105,-0.009708,0.119040,0.055971
972,141.089869,85.774000,1.361747,0.026199,0.185135,60.348195,0.000000,60.397137,57.754842,0.000000,0.999915,0.000002,-2.171790,0.025562,112.688279
973,139.866741,81.459993,1.135192,0.024091,0.146411,62.239515,0.000000,62.413023,60.350571,0.000000,0.999944,0.000002,-1.912160,0.016774,89.967325
974,146.986699,100.864368,1.532674,0.033381,0.159849,53.853626,0.000000,53.898742,49.972509,0.000000,0.999865,0.000003,-3.203399,0.039451,146.841668
975,90.876692,125.817562,0.646444,0.021962,0.227413,0.000954,0.000000,0.003421,0.000000,0.000000,0.005362,0.000934,-0.145679,0.919271,0.296698
976,133.695438,128.247846,0.304679,0.027206,0.165455,6.636767,0.000000,6.885304,6.073687,0.000000,0.999660,0.000019,-3.470752,0.027042,38.736599
977,54.684871,117.294712,1.461782,0.034197,0.224560,0.022497,0.000000,0.040074,0.000000,0.000000,0.000132,0.000024,-0.002146,0.023161,0.009441
978,70.004879,89.102100,1.286595,0.033348,0.295476,0.000000,0.093964,0.123438,0.003895,0.000000,0.028848,0.004072,-0.282434,3.619944,2.354608
979,116.142821,112.840562,1.585650,0.026181,0.208833,8.109114,0.000000,8.170864,5.647863,0.000000,0.999648,0.000007,-2.838582,0.054291,171.560116
980,87.017313,118.811894,0.319592,0.021307,0.138555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000837,0.000284,-0.039269,0.127956,0.022543
981,131.919738,91.643819,0.171593,0.011740,0.137916,40.662581,0.000000,42.167708,40.539824,0.000000,1.000000,0.000000,-1.073766,0.000023,15.693829
982,51.746485,98.000670,1.764033,0.041821,0.200648,0.034753,0.000000,0.038197,0.000000,0.000000,0.000678,0.000132,-0.007624,0.113634,0.055791
983,113.861534,109.088664,0.132724,0.013586,0.130740,4.857732,0.000000,6.030286,4.763253,0.000000,0.999710,0.000034,-1.491827,0.014210,14.447917
984,131.626262,122.329271,0.272288,0.023285,0.167201,10.130555,0.000000,10.580837,9.716566,0.000000,0.999736,0.000017,-2.840805,0.022468,33.087955
985,86.144100,112.441670,1.209099,0.041724,0.183597,0.082885,0.000000,0.095420,0.000482,0.000000,0.021579,0.003312,-0.286402,3.786621,2.087982
986,96.705399,109.679165,0.137516,0.046997,0.210760,0.010798,0.000000,0.034405,0.000000,0.000000,0.022722,0.006864,-1.276454,1.679784,0.293223
987,69.341776,101.061250,1.196299,0.015575,0.177111,0.000000,0.000000,0.000000,0.000000,0.000000,0.004451,0.000873,-0.058106,0.781722,0.342914
988,65.967544,78.959284,1.899394,0.019836,0.282187,0.000000,0.184873,0.233649,0.035352,0.000000,0.043456,0.007485,-0.220866,5.794895,4.961673
989,120.259020,103.811853,1.470022,0.038442,0.134316,23.426358,0.000000,23.451890,19.907027,0.000000,0.999750,0.000006,-3.775790,0.046292,144.161606
990,113.901575,101.200458,0.387514,0.048211,0.103444,14.865987,0.000000,14.908585,13.799844,0.000000,0.999800,0.000013,-4.794937,0.019878,38.480890
991,136.965274,91.711429,0.797387,0.049501,0.219982,50.807415,0.000000,50.854999,48.065424,0.000000,0.999935,0.000003,-4.367126,0.015582,70.290946
992,94.605961,97.345289,1.193458,0.018769,0.220175,1.276562,1.160744,3.427052,1.538209,0.845518,0.244196,0.033524,-1.197027,20.680081,25.461656
993,96.505029,75.044999,0.334142,0.030452,0.263799,0.036012,22.498478,22.783703,22.032930,22.498478,0.999947,0.000007,-2.264602,0.006016,24.820005
994,91.821137,70.549091,1.874619,0.019710,0.296788,0.006098,24.580797,24.682897,22.875416,19.678378,0.999791,0.000005,-1.343562,0.036135,127.403458
995,77.443031,72.838941,0.248866,0.020421,0.273501,0.000000,5.014400,5.541569,4.818486,0.000000,0.999696,0.000030,-1.487651,0.013514,18.028751
996,136.108470,107.379912,0.673034,0.024801,0.189845,30.976403,0.000000,31.183778,29.837113,0.000000,0.999853,0.000006,-2.624975,0.025655,71.058334
997,77.004639,81.146347,0.438754,0.027532,0.247489,0.000000,0.893359,1.469242,0.311617,0.000000,0.174155,0.025349,-1.974159,9.290351,5.484981
998,70.262310,125.287876,1.204178,0.038096,0.260680,0.000000,0.000000,0.000000,0.000000,0.000000,0.001148,0.000181,-0.022674,0.222190,0.089034
999,108.758177,112.170045,1.859032,0.018508,0.270899,1.112469,0.000000,1.121647,0.284960,0.000000,0.984291,0.211563,-1.981072,5.693575,198.259164
1000,73.907591,89.122421,0.906558,0.048765,0.126702,0.000000,0.231885,0.332977,0.017041,0.000000,0.063999,0.010947,-0.746696,7.082037,4.007143
